order	time	memory	cross_entropy	input_file	architecture	number_of_states	threads	fit	params_json	train_opt_json	no_mean	log_file	k	l
1	7.96	167920.0	4.0028037756051615	gaussian.npy	chain	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
2	10.95	167884.0	3.418861676259189	gaussian.npy	chain	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
3	13.34	167860.0	3.1860527940724306	gaussian.npy	chain	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
4	10.71	168220.0	3.0737983448631137	gaussian.npy	chain	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
5	17.78	168156.0	3.2653174829002043	gaussian.npy	chain	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
6	46.95	167920.0	3.7437329772637913	gaussian.npy	chain	12	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
7	47.68	167784.0	4.7978443400983535	gaussian.npy	chain	14	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
8	58.51	168080.0	7.297785350124188	gaussian.npy	chain	16	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
9	56.0	167700.0	11.431261015008232	gaussian.npy	chain	18	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
10	16.94	168300.0	17.00269331063923	gaussian.npy	chain	20	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	1	trainig_log		
